policy,goal_angle,episode,success,cumulative_reward,episode_length,final_absolute_error,terminated,truncated
rule_based,-0.8,1,1,10.521527701057494,27,0.012328092101017596,1,0
rule_based,-0.8,2,1,10.521527701057494,27,0.012328092101017596,1,0
rule_based,-0.8,3,1,10.521527701057494,27,0.012328092101017596,1,0
rule_based,-0.8,4,1,10.521527701057494,27,0.012328092101017596,1,0
rule_based,-0.8,5,1,10.521527701057494,27,0.012328092101017596,1,0
rule_based,-0.4,1,1,15.21405668091029,21,0.013217009087764853,1,0
rule_based,-0.4,2,1,15.21405668091029,21,0.013217009087764853,1,0
rule_based,-0.4,3,1,15.21405668091029,21,0.013217009087764853,1,0
rule_based,-0.4,4,1,15.21405668091029,21,0.013217009087764853,1,0
rule_based,-0.4,5,1,15.21405668091029,21,0.013217009087764853,1,0
rule_based,0.4,1,1,15.211074960418046,21,0.012719840750495037,1,0
rule_based,0.4,2,1,15.211074960418046,21,0.012719840750495037,1,0
rule_based,0.4,3,1,15.211074960418046,21,0.012719840750495037,1,0
rule_based,0.4,4,1,15.211074960418046,21,0.012719840750495037,1,0
rule_based,0.4,5,1,15.211074960418046,21,0.012719840750495037,1,0
rule_based,0.8,1,1,10.519856926985085,27,0.0105712357298271,1,0
rule_based,0.8,2,1,10.519856926985085,27,0.0105712357298271,1,0
rule_based,0.8,3,1,10.519856926985085,27,0.0105712357298271,1,0
rule_based,0.8,4,1,10.519856926985085,27,0.0105712357298271,1,0
rule_based,0.8,5,1,10.519856926985085,27,0.0105712357298271,1,0
