config,episodes,wall_clock_seconds,final_epsilon,final_20_mean_training_reward,final_50_training_success_rate,evaluation_successes,evaluation_episodes,evaluation_success_rate,mean_evaluation_reward,mean_evaluation_length,mean_final_absolute_error
config_a,500,82.01109290599925,0.08198177029173696,14.882948489128102,1,20,20,1,13.281670492392731,20.0,0.004913306541280124
config_b,500,71.01551527099946,0.05,15.030886168147845,1,20,20,1,13.167094385394012,20.0,0.009504934879783905
