policy,goal_angle,episode,success,cumulative_reward,episode_length,final_absolute_error,terminated,truncated
dqn,-0.8,1,1,11.058340473193676,22,0.0014839096307504018,1,0
dqn,-0.8,2,1,11.058340473193676,22,0.0014839096307504018,1,0
dqn,-0.8,3,1,11.058340473193676,22,0.0014839096307504018,1,0
dqn,-0.8,4,1,11.058340473193676,22,0.0014839096307504018,1,0
dqn,-0.8,5,1,11.058340473193676,22,0.0014839096307504018,1,0
dqn,-0.4,1,1,15.49596557430923,18,0.004034451120144389,1,0
dqn,-0.4,2,1,15.49596557430923,18,0.004034451120144389,1,0
dqn,-0.4,3,1,15.49596557430923,18,0.004034451120144389,1,0
dqn,-0.4,4,1,15.49596557430923,18,0.004034451120144389,1,0
dqn,-0.4,5,1,15.49596557430923,18,0.004034451120144389,1,0
dqn,0.4,1,1,15.544709192262962,17,0.007051098380323806,1,0
dqn,0.4,2,1,15.544709192262962,17,0.007051098380323806,1,0
dqn,0.4,3,1,15.544709192262962,17,0.007051098380323806,1,0
dqn,0.4,4,1,15.544709192262962,17,0.007051098380323806,1,0
dqn,0.4,5,1,15.544709192262962,17,0.007051098380323806,1,0
dqn,0.8,1,1,11.027666729805059,23,0.0070837670339019,1,0
dqn,0.8,2,1,11.027666729805059,23,0.0070837670339019,1,0
dqn,0.8,3,1,11.027666729805059,23,0.0070837670339019,1,0
dqn,0.8,4,1,11.027666729805059,23,0.0070837670339019,1,0
dqn,0.8,5,1,11.027666729805059,23,0.0070837670339019,1,0
