episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,loss_mean,terminated,truncated,wall_clock_seconds
1,-0.5670638717221037,-51.616181208845234,0,150,0.3310466536114537,1.0,,0,1,0.3468338569982734
2,-0.4439785767418311,-54.84389315498993,0,150,0.3373427753680646,0.995,,0,1,0.6890935429983074
3,0.3143637356043312,6.212122143432498,1,49,0.023064059930592906,0.990025,,1,0,0.8263713199994527
4,0.1487023394431196,-18.846509900933604,0,150,0.12035857433321787,0.985074875,,0,1,1.152967128000455
5,-0.43734299868543225,-24.130955709703272,0,150,0.028413628224177367,0.9801495006250001,0.0658053912082687,0,1,1.9913492929990753
6,-0.35933952624810694,5.508521641418335,1,54,0.014097951557019706,0.9752487531218751,0.036501788499730604,1,0,2.2631687719986076
7,-0.6752556038969942,-95.76968991756439,0,150,0.3104126031814136,0.9703725093562657,0.046997002630184095,0,1,2.9928062559993123
8,-0.0025225670898392227,19.740195391059387,1,82,0.02057252990286012,0.9655206468094844,0.04046518929734281,1,0,3.437717395998334
9,0.2209207620258753,13.917945983633398,1,27,0.01790283847597357,0.960693043575437,0.04929628362879157,1,0,3.5857827799991355
10,0.30019662480847953,-73.85059816567227,0,150,0.5166480202179982,0.9558895783575597,0.06224094343061248,0,1,4.386193747999641
11,-0.5721356003397541,-42.635006857803084,0,150,0.1098829968188953,0.9511101304657719,0.04354228623832265,0,1,5.144195917000616
12,-0.24911341327952408,13.33350130300969,1,90,0.02223474992708624,0.946354579813443,0.04193040421749983,1,0,5.5948840959972586
13,-0.5923313369919598,-37.10032322248444,0,150,0.05036104110777029,0.9416228069143757,0.04577037299672763,0,1,6.359820844998467
14,-0.0910043705343,16.876716441474855,1,18,0.0326593262009319,0.9369146928798039,0.05248261915726794,1,0,6.457840983999631
15,-0.5211148741827851,-48.6694062685594,0,150,0.10884394829906463,0.9322301194154049,0.042678822680997354,0,1,7.218443768000725
16,-0.3109303372948684,-28.557853282988074,0,150,0.35750049091672087,0.9275689688183278,0.04770675212920954,0,1,7.9180554390004545
17,0.3929539928533785,8.511752933985553,1,97,0.005203998573777291,0.9229311239742362,0.0397855858366514,1,0,8.365842939998402
18,-0.4403305186691821,-12.479451798921218,0,150,0.5084705987008882,0.918316468354365,0.03918912029825151,0,1,9.19370868599799
19,0.5695238975449919,-20.467576051130894,0,150,0.4420605044158986,0.9137248860125932,0.04516794818763931,0,1,9.956111830000737
20,-0.7963080067314675,-98.77311875657178,0,150,0.1242463243520252,0.9091562615825302,0.03729499668503801,0,1,10.666132454000035
21,0.5097845826490548,3.2165094834519516,1,44,0.014682115382615435,0.9046104802746175,0.03321916379288516,1,0,10.868954852998286
