episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,loss_mean,terminated,truncated,wall_clock_seconds
1,-0.5670638717221037,-51.616181208845234,0,150,0.3310466536114537,1.0,,0,1,0.31852692299798946
2,-0.4439785767418311,-25.27428340911864,1,83,0.029727721575911248,0.985,,1,0,0.48806488599802833
3,0.3143637356043312,-30.54423807095735,1,120,0.014142575031461657,0.970225,,1,0,0.7131387629997334
4,0.1487023394431196,-28.350445625931027,0,150,0.18885045761360403,0.955671625,0.08390837348997593,0,1,1.1086214700007986
5,-0.43734299868543225,-18.320262575568634,0,150,0.021375739547111694,0.941336550625,0.07462998489538829,0,1,1.6662296149988833
6,-0.35933952624810694,-56.304999897954985,0,150,1.001057296889619,0.927216502365625,0.05177172584924847,0,1,2.1747314690001076
7,-0.6752556038969942,-3.2813356144819537,1,127,0.018517331251100888,0.9133082548301407,0.03822669784692446,1,0,2.622182144001272
8,-0.0025225670898392227,15.901657697558402,1,55,0.01602271832466529,0.8996086310076885,0.03917579796503891,1,0,2.829272437000327
9,0.2209207620258753,-37.13164008189633,0,150,0.5641053042777998,0.8861145015425732,0.06172142902389169,0,1,3.356579081999371
10,0.30019662480847953,-116.60361212491989,0,150,1.0544041210028534,0.8728227840194346,0.04952198020492991,0,1,3.9397996830011834
11,-0.5721356003397541,10.460296719725008,1,56,0.0399346750662426,0.8597304422591431,0.044514021021313965,1,0,4.155923008998798
12,-0.24911341327952408,14.967390762639116,1,67,0.0001111956545315207,0.8468344856252559,0.04263108850581877,1,0,4.368382259999635
13,-0.5923313369919598,-19.15989324534313,0,150,0.47888349188158663,0.834131968340877,0.06250411645819744,0,1,5.165522554998461
14,-0.0910043705343,3.4690240815281834,1,119,0.01796596940426247,0.8216199888157638,0.039173935430453104,1,0,5.707070410000597
15,-0.5211148741827851,-8.148853764944953,0,150,0.08260472698252874,0.8092956889835273,0.054435095662871996,0,1,6.374309769998945
16,-0.3109303372948684,-51.292714420892295,0,150,0.3538714780855793,0.7971562536487744,0.05231089407888551,0,1,7.251278251998883
17,0.3929539928533785,9.84433960863389,0,150,0.045223446742253814,0.7851989098440427,0.05505725193147858,0,1,7.957232298998861
18,-0.4403305186691821,-50.93762096280696,1,127,0.002511739163213622,0.773420926196382,0.04181116993179706,1,0,8.558505893000984
19,0.5695238975449919,12.638481003604827,1,74,0.020707199769888773,0.7618196123034363,0.0554448725857042,1,0,10.04208453499814
20,-0.7963080067314675,-28.62826210391938,0,150,0.16125700520378006,0.7503923181188847,0.045980022456496954,0,1,12.308919483999489
21,0.5097845826490548,0.3837065475992816,1,91,0.012029373185924397,0.7391364333471014,0.04856369264710408,1,0,13.314437540000654
22,0.4831343256743761,13.311026658199262,1,51,0.002287557707100152,0.7280493868468949,0.039165515178704965,1,0,14.276060288000735
23,0.6902857964855127,7.794749414036047,1,70,0.01269736582923664,0.7171286460441915,0.048195661404835326,1,0,15.153192527999636
24,0.025334351051786497,31.340127847000247,1,78,0.001967760957951946,0.7063717163535286,0.04604765537600869,1,0,15.755292867001117
25,-0.2450664976924909,12.694731814798434,1,43,0.005284809810545632,0.6957761406082257,0.05562887786952562,1,0,16.021679180998035
26,0.14513155663250255,17.074127709306776,1,13,0.004068519774771323,0.6853394984991023,0.06787484583373253,1,0,16.117498072999297
27,-0.13954441773992898,20.638973860349505,1,32,0.017688518605536885,0.6750594060216157,0.051604351319838315,1,0,16.37431229499998
28,-0.10585193886517108,17.434751858888195,1,12,0.005847005106926706,0.6649335149312915,0.07446196069940925,1,0,16.473674393000692
29,0.6844229261550632,4.9443079329095765,1,52,0.02556779268015741,0.6549595122073221,0.04556847598332052,1,0,16.948465506000503
30,-0.3986282609417726,32.59020523761863,1,118,0.01260719401810001,0.6451351195242122,0.05469878373857019,1,0,17.654970105999382
31,0.6098199051253312,12.596148674190044,1,22,0.008010003662950793,0.635458092731349,0.05716633017767559,1,0,17.796543182001187
32,-0.248915815263149,13.360433899704367,1,71,0.016097567917674138,0.6259262213403788,0.0576692001212021,1,0,18.18583452999883
33,0.7859162125789654,5.380429345788433,1,36,0.0016320116826614717,0.6165373280202731,0.04782275247594549,1,0,18.371699678998993
34,-0.5425996537128712,12.74072247543372,1,22,0.02837043513798032,0.607289268099969,0.061773547479374843,1,0,18.484253627000726
35,-0.29579634012126665,14.739778348803519,1,26,0.026331013288224625,0.5981799290784694,0.04971749056130648,1,0,18.6257048869993
36,-0.48638307039065903,16.35891887426842,1,50,0.007178843389415546,0.5892072301422924,0.06310044929385185,1,0,18.898383833999105
37,0.27196325560462586,15.207531378418206,1,20,0.02468288568893262,0.580369121690158,0.06611520359292626,1,0,19.03092995100087
38,0.6063247200401634,3.6041732361540157,1,40,0.014035882705955127,0.5716635848648056,0.06136085286270827,1,0,19.333391501000733
39,0.1054995612758054,16.870684425719084,1,16,0.00016876007099576873,0.5630886310918335,0.06164629274280742,1,0,19.496303396997973
40,-0.19335837596688488,16.580716585315532,1,16,0.0073289540484963445,0.554642301625456,0.055058240192011,1,0,19.650920086998667
41,0.7528665793445402,8.599882015853655,1,28,0.002202648127152984,0.5463226671010741,0.07181467568235737,1,0,19.904838911999832
42,0.2941790984755761,14.968010991625487,1,31,0.01418163159908814,0.538127827094558,0.061491381617323045,1,0,20.224710346999927
43,0.3431661379906532,14.23896304888185,1,22,0.0014945660854662757,0.5300559096881396,0.05309258121997118,1,0,20.41972649300078
44,-0.6060536436369619,18.525311289029197,1,32,0.033465266766564694,0.5221050710428176,0.06353069937904365,1,0,20.683694292998553
45,0.5020908904982662,13.337108016852289,1,21,0.027880083261410005,0.5142734949771753,0.0514287996504988,1,0,20.88570525799878
46,-0.06891341952258812,23.945360088953745,1,20,0.019790636870033476,0.5065593925525177,0.07946102833375335,1,0,21.183263951999834
47,0.05212907066645778,17.503552910871804,1,10,0.027398814960643253,0.4989610016642299,0.08549254536628723,1,0,21.277634351001325
48,0.6495290165728298,7.593429124448448,1,30,0.012652765453461723,0.49147658663926647,0.04781485293060541,1,0,21.518412707999232
49,0.16577335165253881,15.540314274653792,1,28,0.0029927642116682196,0.48410443783967744,0.06085490102746657,1,0,21.769753361000767
50,0.7642351097278159,1.8730447739711913,1,51,0.008657211403738874,0.47684287127208225,0.06393671649343827,1,0,22.19956347400148
51,0.3379575564843966,15.918183925002813,1,17,0.010856311887776748,0.469690228203001,0.0466660629848347,1,0,22.336968841998896
52,-0.22107304984804121,16.572393350099446,1,16,0.0032087269311950883,0.462644874779956,0.0622148122638464,1,0,22.469450284999766
53,0.24453407103151825,13.517646917700766,1,24,0.01971325289961623,0.4557052016582566,0.05507194014110913,1,0,22.642945654999494
54,-0.7466428048441289,13.177726026368326,1,34,0.011135390892788921,0.4488696236333828,0.05273737763876424,1,0,22.860830802001146
55,0.0058969335801940526,17.581908144714543,1,8,0.00041141076891516425,0.44213657927888206,0.060968083096668124,1,0,22.920925618000183
56,-0.7274915788685086,11.544793795887381,1,23,0.0026230565621252477,0.43550453058969885,0.06690760086412015,1,0,23.071810623998317
57,0.3784105914597091,14.27434223281016,1,25,0.03410888346987795,0.42897196263085335,0.06343096382915973,1,0,23.231938048000302
58,0.7158617861604102,12.322070645983331,1,33,0.001766604577344344,0.42253738319139056,0.05720343288372864,1,0,23.44624172999829
59,-0.7651082338892462,9.226331496657803,1,25,0.020527698697417884,0.4161993224435197,0.05688465520739555,1,0,23.60191590500108
60,-0.45953602923557835,10.242349905637093,1,28,0.009192186813498482,0.4099563326068669,0.05727339815348387,1,0,23.79408013899956
61,-0.5572528245753583,12.847034138545858,1,23,0.0006818474050341861,0.4038069876177639,0.05273776250364988,1,0,23.958749600999
62,0.38104754654262907,19.231822205288335,1,25,0.0040259033673537,0.39774988280349743,0.05922313384711742,1,0,24.10941755100066
63,-0.002161206712876451,17.707073669040255,1,8,0.006072563360549402,0.391783634561445,0.07100020791403949,1,0,24.164131147997978
64,-0.4746594600449594,9.9386240197171,1,30,0.009105459486376366,0.3859068800430233,0.05542442866911491,1,0,24.334151111997926
65,0.22915166968498912,16.493919800408186,1,15,0.004210041705096618,0.380118276842378,0.0474907582004865,1,0,24.42934088599941
66,0.006805930598571264,17.766419836634306,1,8,0.013176527560878004,0.3744165026897423,0.04372839070856571,1,0,24.48315666000053
